year,age,sex,people
1990,2,2,658370
1990,1,1,607696
1990,1,2,660670
1990,0,1,615410
1990,0,2,662166

1989,10,1,627511
1989,10,2,672182
1989,9,1,628621
1989,9,2,670320
1989,8,1,624203
1989,8,2,667625
1989,7,1,620705
1989,7,2,666375
1989,6,1,618443
1989,6,2,665014
1989,5,1,614114
1989,5,2,663255
1989,4,1,615450
1989,4,2,666163
1989,3,1,620316
1989,3,2,671080
1989,2,1,599156
1989,2,2,654126
1989,1,1,604817
1989,1,2,658370
1989,0,1,607696
1989,0,2,660670

1988,10,623968
1988,10,673002
1988,9,1,627511
1988,9,2,672182
1988,8,1,628621
1988,8,2,670320
1988,7,1,624203
1988,7,2,667625
1988,6,1,620705
1988,6,2,666375
1988,5,1,618443
1988,5,2,665014
1988,4,1,614114
1988,4,2,663255
1988,3,1,615450
1988,3,2,666163
1988,2,1,620316
1988,2,2,671080
1988,1,1,599156
1988,1,2,654126
1988,0,1,604817
1988,0,2,658370
